Executable                        Bundle                                                            Version    Path
--------------------------------  ----------------------------------------------------------------  ---------  -------------------------------------------
iAdCore                           com.apple.iAdCore                                                 1.0        ...rary/PrivateFrameworks/iAdCore.framework
SignpostSupport                   com.apple.signpost.SignpostSupport                                1.40       ...vateFrameworks/SignpostSupport.framework
PrototypeTools                    com.apple.PrototypeTools                                          1.0        ...ivateFrameworks/PrototypeTools.framework
SpringBoardServices               com.apple.SpringBoardServices                                     1.0        ...Frameworks/SpringBoardServices.framework
DAAPKit                           com.apple.DAAPKit                                                 1.0        ...rary/PrivateFrameworks/DAAPKit.framework
                                                                                                               ...rameworks/CoreLocationProtobuf.framework
SymptomDiagnosticReporter         com.apple.SymptomDiagnosticReporter                               1.0        ...orks/SymptomDiagnosticReporter.framework
Futhark                           com.apple.Futhark                                                 1.0        ...rary/PrivateFrameworks/Futhark.framework
PersistentConnection              com.apple.persistentconnection                                    1.0        ...rameworks/PersistentConnection.framework
WebKit                            com.apple.WebKit                                                  8608       ...stem/Library/Frameworks/WebKit.framework
Heimdal                           com.apple.Heimdal                                                 4.0        ...rary/PrivateFrameworks/Heimdal.framework
AppleIDSSOAuthentication          com.apple.AppleIDSSOAuthentication                                1.0        ...works/AppleIDSSOAuthentication.framework
RemoteXPC                         com.apple.xpc.RemoteXPC                                           1.0        ...ry/PrivateFrameworks/RemoteXPC.framework
OAuth                             com.apple.OAuth                                                   25         ...ibrary/PrivateFrameworks/OAuth.framework
MobileActivation                  com.apple.mobile.MobileActivation                                 1.0        ...ateFrameworks/MobileActivation.framework
BackgroundTaskAgent               com.apple.BackgroundTaskAgent                                     1.0        ...Frameworks/BackgroundTaskAgent.framework
iTunesCloud                       com.apple.iTunesCloud                                             1.0        .../PrivateFrameworks/iTunesCloud.framework
MPSCore                           com.apple.MetalPerformanceShaders.MPSCore                         1.0        ...s.framework/Frameworks/MPSCore.framework
AccountsDaemon                    com.apple.accounts.AccountsDaemon                                 113        ...ivateFrameworks/AccountsDaemon.framework
OSAnalytics                       com.apple.osanalytics.OSAnalytics                                 1.0        .../PrivateFrameworks/OSAnalytics.framework
AssetsLibrary                     com.apple.AssetsLibrary                                           1.0        ...brary/Frameworks/AssetsLibrary.framework
caulk                             com.apple.audio.caulk                                             1.0        ...ibrary/PrivateFrameworks/caulk.framework
Accounts                          com.apple.Accounts                                                113        ...em/Library/Frameworks/Accounts.framework
CorePhoneNumbers                  com.apple.CorePhoneNumbers                                        1.0        ...ateFrameworks/CorePhoneNumbers.framework
CoreImage                         com.apple.CoreImage                                               13.0.0     ...m/Library/Frameworks/CoreImage.framework
VideoToolbox                      com.apple.VideoToolbox                                            1.0        ...ibrary/Frameworks/VideoToolbox.framework
NetworkExtension                  com.apple.NetworkExtension                                        1.0        ...ry/Frameworks/NetworkExtension.framework
EAP8021X                          com.apple.SystemConfiguration.EAP8021X                            14.0.0     ...ary/PrivateFrameworks/EAP8021X.framework
perfdata                          com.apple.perfdata                                                1.0        ...ary/PrivateFrameworks/perfdata.framework
EmailFoundation                   com.apple.EmailFoundation                                         11.0       ...vateFrameworks/EmailFoundation.framework
AppStoreDaemon                    com.apple.AppStoreDaemon                                          1.0        ...ivateFrameworks/AppStoreDaemon.framework
CoreMotion                        com.apple.coremotion                                              2387.0.14  .../Library/Frameworks/CoreMotion.framework
